EOdd_sep_abs,matthews,thresh_g0,thresh_g1
0.09654736518859863,0.053651951253414154,0.05,0.13
0.13190042972564697,0.05973007529973984,0.05,0.15
0.16342991590499878,0.06847205013036728,0.05,0.17
0.20676112174987793,0.0746217668056488,0.05,0.19
0.25722384452819824,0.07876181602478027,0.05,0.21
0.31305813789367676,0.08199519664049149,0.05,0.23
0.36145687103271484,0.08790022134780884,0.05,0.25
0.41993749141693115,0.09186272323131561,0.05,0.27
0.4827311635017395,0.09484726935625076,0.05,0.29
0.5573267936706543,0.09677332639694214,0.05,0.31
0.619234025478363,0.09882624447345734,0.05,0.33
0.6920832991600037,0.10461480915546417,0.05,0.35
0.770674467086792,0.1041598916053772,0.05,0.37
0.839898407459259,0.10740011185407639,0.05,0.39
0.9175237417221069,0.10807757824659348,0.05,0.41
0.9906108975410461,0.10878873616456985,0.05,0.43
